dataset,model,task_type,best_val_metric,epochs,test_auc,test_rmse_orig,test_rmse_log,test_mae_log
Caco2_Wang,ChemBERTa-FT,regression,0.46901696867940484,28,,0.003227461447256833,0.4999491099447253,0.3782382309436798
Half_Life_Obach,ChemBERTa-FT,regression,1.74516999047931,11,,8.310535629031756,1.066278526845795,0.8341647386550903
Clearance_Hepatocyte_AZ,ChemBERTa-FT,regression,1.2080013487757801,14,,52.59749828814936,1.4173088114337586,1.156672477722168
Clearance_Microsome_AZ,ChemBERTa-FT,regression,1.1071407223606184,18,,42.87340985343874,1.2891238111307208,0.991299033164978
tox21,ChemBERTa-FT,classification,0.8292103424178896,16,0.48231792717086835,,,
herg,ChemBERTa-FT,classification,0.7845528455284553,17,0.7769345238095238,,,
