model_name,graph_layers,graph_hidden_channels,graph_norm,activation,heads,aggr,residual,use_edge_features,learning_rate,weight_decay,dropout,dataset,val_rmse,val_log_rmse,test_rmse,test_log_rmse,val_mae,test_mae,val_r2,test_r2,epochs_trained,train_time_s,seed,success,K
SGC,3,64,BatchNorm,leaky_relu,1,mean,True,False,0.0001,0.0001,0.2,Clearance_Hepatocyte_AZ,54.47537655115956,1.221232650901181,53.704538823402764,1.2591550952767998,32.68434143066406,33.86957550048828,-0.18772618912564565,-0.25150720520841596,3,51.8,42,True,5.0
TAG,2,256,GraphNorm,relu,1,max,True,False,0.001,0.001,0.2,Clearance_Hepatocyte_AZ,47.59015395968214,1.0552108672955818,48.78439541829052,1.1665736726315676,28.616188049316406,31.207509994506836,0.09353702361224692,-0.032697737621657286,35,171.4,42,True,
GAT,4,64,BatchNorm,gelu,4,mean,True,True,0.0005,0.0001,0.2,Clearance_Hepatocyte_AZ,53.72457838145987,1.213155029379161,52.81635756991507,1.2479023467013641,32.722572326660156,33.723148345947266,-0.15521250846079315,-0.21045393231478227,2,54.68,42,True,
SGC,2,128,GraphNorm,gelu,1,add,False,True,0.001,0.001,0.1,Clearance_Hepatocyte_AZ,48.13163509455086,1.0844991071885446,56.937292037902324,1.2625755460292056,28.610431671142578,34.506282806396484,0.07279218844614477,-0.4067113364481194,36,137.44,42,True,5.0
GAT,2,128,GraphNorm,leaky_relu,8,add,True,False,0.0001,1e-05,0.1,Clearance_Hepatocyte_AZ,54.661136502546306,1.221753670691022,53.945866330430036,1.2579775948782863,32.65786361694336,33.791114807128906,-0.19584024536325995,-0.2627800587976614,3,48.1,42,True,
SGC,3,128,BatchNorm,gelu,1,add,False,True,0.001,0.0001,0.2,Clearance_Hepatocyte_AZ,47.00089603949721,1.0998789219245997,51.42473784191199,1.1925717041368986,29.83216094970703,32.50822830200195,0.11584557271963625,-0.14750752980218906,25,132.55,42,True,5.0
Graph,2,128,BatchNorm,gelu,1,add,False,False,0.001,0.0001,0.2,Clearance_Hepatocyte_AZ,45.17728613603508,1.0154302700721427,49.27620654281334,1.2123493517736177,27.50802993774414,31.646099090576172,0.1831240157166787,-0.05362460751326492,61,128.98,42,True,
GAT,2,256,GraphNorm,relu,2,mean,True,True,0.001,0.0001,0.3,Clearance_Hepatocyte_AZ,45.546987564183375,1.0995907691951121,142.10048161424365,1.2097061509367928,28.109464645385742,39.967132568359375,0.16969975187534803,-7.761984306145317,37,181.64,42,True,
SAGE,3,128,LayerNorm,swish,1,add,False,True,0.001,0.001,0.1,Clearance_Hepatocyte_AZ,49.98681222566983,1.0588405384582074,50.76303038537248,1.21349134487686,30.182523727416992,32.8266487121582,-6.155969399523897e-05,-0.11816643503341395,81,199.84,42,True,
TAG,4,128,BatchNorm,leaky_relu,1,max,True,False,0.0001,0.001,0.3,Clearance_Hepatocyte_AZ,53.93820837092779,1.2340741411202953,53.07105487207104,1.2489047768077033,32.99706268310547,33.71677017211914,-0.16441793013052863,-0.22215647008932948,1,67.76,42,True,
TAG,4,64,LayerNorm,relu,1,add,False,True,0.0001,0.0001,0.1,Clearance_Hepatocyte_AZ,54.37609329001464,1.2207110600544808,53.57183863310321,1.2544495716383492,32.6843376159668,33.776336669921875,-0.18340079005515797,-0.2453300712930384,5,69.12,42,True,
GCN,4,128,GraphNorm,relu,1,mean,False,False,0.0001,1e-05,0.1,Clearance_Hepatocyte_AZ,53.810789570668355,1.208220641615418,52.7888306797115,1.2473781435313995,32.619876861572266,33.683509826660156,-0.15892299458792536,-0.20919252955482404,3,64.95,42,True,
SAGE,2,256,GraphNorm,relu,1,add,True,True,0.001,0.0001,0.3,Clearance_Hepatocyte_AZ,48.58494443932065,1.0370058831142273,50.01686971272168,1.1685479203178282,29.187313079833984,31.728628158569336,0.05524484195721169,-0.08553639173976602,63,216.79,42,True,
GIN,3,256,LayerNorm,swish,1,mean,True,False,0.0005,0.001,0.3,Clearance_Hepatocyte_AZ,53.69042619717574,1.184446410127707,53.193276437940206,1.2604201275489963,32.334259033203125,33.95660400390625,-0.15374426090209914,-0.2277921553185438,25,121.93,42,True,
SGC,3,256,GraphNorm,relu,1,mean,True,True,0.0005,1e-05,0.3,Clearance_Hepatocyte_AZ,46.86778590320595,1.1098092011615652,49.84314018043882,1.229366249721983,28.267465591430664,31.759723663330078,0.12084646728947523,-0.07800844346374136,27,213.12,42,True,5.0
GAT,4,64,BatchNorm,relu,8,add,True,True,0.0001,1e-05,0.2,Clearance_Hepatocyte_AZ,54.30713931758305,1.2125210306340723,53.59715732608866,1.2613296801447627,32.57554626464844,33.93941116333008,-0.18040136725057465,-0.24650746528599843,8,84.97,42,True,
SAGE,4,64,GraphNorm,swish,1,mean,True,False,0.0001,0.0001,0.2,Clearance_Hepatocyte_AZ,53.35032866214954,1.2219815055085084,52.345974766153226,1.2461808302255162,32.7559700012207,33.838958740234375,-0.13917396075755128,-0.18898932156405412,28,143.64,42,True,
SAGE,2,256,GraphNorm,gelu,1,mean,True,True,0.001,0.001,0.3,Clearance_Microsome_AZ,40.828277482493675,1.0159100721029164,42.497986510208634,1.1639271657224266,21.90794563293457,24.574859619140625,0.02543902431713685,0.026856780652578904,11,83.21,42,True,
SAGE,4,128,BatchNorm,relu,1,mean,True,True,0.001,0.001,0.1,Clearance_Microsome_AZ,41.37784550496573,1.0349358861144493,42.816561451969875,1.17476812289903,22.458059310913086,24.765108108520508,-0.0009736588978059846,0.012212273561189924,9,119.35,42,True,
GAT,4,256,LayerNorm,swish,2,max,False,True,0.0001,0.001,0.2,Clearance_Microsome_AZ,43.67545965833889,1.1583253517552496,45.319325994477786,1.2575809881154414,23.691884994506836,26.197031021118164,-0.11522339202120624,-0.10664145967950822,4,115.22,42,True,
SGC,3,64,BatchNorm,leaky_relu,1,mean,True,False,0.0001,0.0001,0.2,Clearance_Microsome_AZ,40.824415912175795,1.0614720742817132,41.57465312214357,1.1291066942960633,22.971986770629883,23.725019454956055,0.02562336507305807,0.06868344926876824,80,321.12,42,True,5.0
TAG,2,256,GraphNorm,relu,1,max,True,False,0.001,0.001,0.2,Clearance_Microsome_AZ,40.089711105512315,1.017529043921529,40.84837029146634,1.084655232917385,22.26628875732422,23.34601593017578,0.060378912673580865,0.10093825057694805,12,79.37,42,True,
GAT,4,64,BatchNorm,gelu,4,mean,True,True,0.0005,0.0001,0.2,Clearance_Microsome_AZ,41.626228749694285,1.0333481348620988,43.07637374024623,1.0943715838564216,21.9649658203125,23.5191707611084,-0.013027032219452117,0.00018804607109057514,30,95.9,42,True,
SGC,2,128,GraphNorm,gelu,1,add,False,True,0.001,0.001,0.1,Clearance_Microsome_AZ,36.802656790984535,0.9798895243902428,39.00150237490858,1.0375727923627096,20.895748138427734,22.594738006591797,0.20814576322425515,0.18039853533223915,40,121.08,42,True,5.0
GAT,2,128,GraphNorm,leaky_relu,8,add,True,False,0.0001,1e-05,0.1,Clearance_Microsome_AZ,40.56280696147334,1.0489326679852111,42.24048611216717,1.2397541801466736,22.104717254638672,26.166820526123047,0.038071254731805726,0.03861383670484397,94,154.78,42,True,
SGC,3,128,BatchNorm,gelu,1,add,False,True,0.001,0.0001,0.2,Clearance_Microsome_AZ,38.28984278561189,1.0087451365233608,37.78963345263321,1.0286246472447953,22.21168327331543,21.356002807617188,0.14285545044159753,0.23054112871447763,16,74.52,42,True,5.0
Graph,2,128,BatchNorm,gelu,1,add,False,False,0.001,0.0001,0.2,Clearance_Microsome_AZ,40.7269094376648,1.0371724008759644,39.80211059494835,1.1058067400245335,22.31777572631836,23.397563934326172,0.030272277648152213,0.14640422564976074,31,53.26,42,True,
GAT,2,256,GraphNorm,relu,2,mean,True,True,0.001,0.0001,0.3,Clearance_Microsome_AZ,40.09454311618119,1.0547965484023671,39.78468661510984,1.058153715893186,23.24647331237793,23.180828094482422,0.06015239406758244,0.1471514111578347,31,111.19,42,True,
SAGE,3,128,LayerNorm,swish,1,add,False,True,0.001,0.001,0.1,Clearance_Microsome_AZ,41.02780771451693,1.0220473869901188,41.25752772222301,1.100588159545705,22.355993270874023,23.590991973876953,0.01589027307410351,0.08283715545687842,36,72.17,42,True,
TAG,4,128,BatchNorm,leaky_relu,1,max,True,False,0.0001,0.001,0.3,Clearance_Microsome_AZ,40.86825907240697,1.0463215582706622,42.81545809807992,1.1735381265095688,22.784732818603516,24.72783088684082,0.023529388255603134,0.012263182151264651,34,135.46,42,True,
TAG,4,64,LayerNorm,relu,1,add,False,True,0.0001,0.0001,0.1,Clearance_Microsome_AZ,43.62222272454359,1.1421583396484687,45.43130438330766,1.2508211994771943,23.447919845581055,26.041616439819336,-0.11250631061995375,-0.11211696136754878,24,83.1,42,True,
GCN,4,128,GraphNorm,relu,1,mean,False,False,0.0001,1e-05,0.1,Clearance_Microsome_AZ,40.81257028851145,1.0500876043405452,42.29611740871214,1.149783304224483,22.546951293945312,24.218538284301758,0.026188733818086507,0.03607985176786699,40,120.91,42,True,
SAGE,2,256,GraphNorm,relu,1,add,True,True,0.001,0.0001,0.3,Clearance_Microsome_AZ,39.41191845630266,1.0157416333676814,41.56806236275333,1.0684630257702479,21.275358200073242,22.709028244018555,0.09188248380292097,0.06897870593652744,38,110.78,42,True,
GIN,3,256,LayerNorm,swish,1,mean,True,False,0.0005,0.001,0.3,Clearance_Microsome_AZ,40.966331986709676,1.0574106023955259,40.78463976572936,1.0580075817168142,22.937026977539062,22.75131607055664,0.01883722732662274,0.10374144592629708,99,203.56,42,True,
SGC,3,256,GraphNorm,relu,1,mean,True,True,0.0005,1e-05,0.3,Clearance_Microsome_AZ,38.46102874887612,0.9743904933687074,40.331192674393634,1.1022505070323905,20.895179748535156,23.42707061767578,0.1351740860431001,0.12356001534098171,32,167.44,42,True,5.0
GAT,4,64,BatchNorm,relu,8,add,True,True,0.0001,1e-05,0.2,Clearance_Microsome_AZ,43.39583630255831,1.1521715222178774,45.1247660031156,1.2442333003225183,23.750263214111328,26.00088882446289,-0.10098911697280877,-0.09716003075825919,8,53.56,42,True,
SAGE,4,64,GraphNorm,swish,1,mean,True,False,0.0001,0.0001,0.2,Clearance_Microsome_AZ,43.249826419900955,1.1584297330179334,45.06962793616881,1.275093102303746,23.772464752197266,26.565845489501953,-0.09359279205520554,-0.09448042357525455,2,36.88,42,True,
