Dataset,Task,RMSE_orig_Mean,RMSE_orig_Std,RMSE_log_Mean,RMSE_log_Std,MAE_log_Mean,MAE_log_Std,AUC_Mean,AUC_Std,CI_Lower,CI_Upper
Caco2_Wang,regression,0.0032245465961810485,0.0003992991231448365,0.5635870134962231,0.07876715596248969,0.4536092817783356,0.06447954618068043,,,0.4657846716966987,0.6613893552957475
Half_Life_Obach,regression,37.811739231504916,43.45331529329793,1.3061518216093746,0.13481793810697693,0.9929498195648193,0.09753323783798266,,,1.138753241549878,1.4735504016688712
Clearance_Hepatocyte_AZ,regression,36415.35330406528,81307.80504080007,1.3476492707628975,0.13807409663816417,1.0745848894119263,0.09983539955520308,,,1.1762076358827818,1.5190909056430133
Clearance_Microsome_AZ,regression,66.22786175905131,47.297492352106424,1.231003424134739,0.05751710974707647,0.9900543451309204,0.05421389518941448,,,1.1595864996810592,1.3024203485884187
tox21,classification,,,,,,,0.7738698032942659,0.06117668626460936,0.6979089144300937,0.8498306921584381
herg,classification,,,,,,,0.7602163020397796,0.061646069550565306,0.6836725968480775,0.8367600072314818
