model_name,graph_layers,graph_hidden_channels,graph_norm,activation,heads,aggr,residual,use_edge_features,learning_rate,weight_decay,dropout,K,dataset,val_rmse,val_log_rmse,val_spearman,test_rmse,test_log_rmse,test_spearman,val_mae,test_mae,val_r2,test_r2,epochs_trained,train_time_s,seed,success
SGC,2,256,BatchNorm,relu,1,mean,True,True,0.001,1e-05,0.1,2.0,Clearance_Hepatocyte_AZ,47.08409095537207,1.0525555848411567,0.5188418980760106,49.70122157232405,1.2350105374726343,0.3470130083568022,28.289167404174805,32.946781158447266,0.11271259717761484,-0.07187857308801315,20,95.4,42,True
SAGE,2,128,BatchNorm,gelu,1,mean,True,False,0.0005,0.0001,0.1,,Clearance_Hepatocyte_AZ,42.54716764497227,1.021490603960573,0.5524790742566762,290.87217983162293,1.2476222354960806,0.39108898367874095,26.278663635253906,50.979576110839844,0.2754685450910681,-35.71265849242474,16,61.53,42,True
SGC,3,256,BatchNorm,relu,1,add,True,True,0.001,1e-05,0.1,3.0,Clearance_Hepatocyte_AZ,44.052921720464525,1.049049845590883,0.5317392961831751,210.76996124329483,1.2502534940527366,0.35866610969463536,25.53095054626465,45.24409103393555,0.2232784217498457,-18.276531600386413,26,148.37,42,True
GIN,4,256,BatchNorm,gelu,1,mean,True,False,0.001,1e-05,0.2,,Clearance_Hepatocyte_AZ,44.99282033653745,1.006635890025806,0.5775771622399375,87.37555044980404,1.2749012127896007,0.3369036420035827,26.18691635131836,37.27200698852539,0.18978109857106273,-2.312770214574114,36,210.29,42,True
SGC,4,128,BatchNorm,relu,1,add,True,True,0.001,0.0001,0.2,3.0,Clearance_Hepatocyte_AZ,48.00385268962143,1.0630025445705935,0.49366739115163016,48.7647138251946,1.1922923528661284,0.36836443179043665,28.07065773010254,31.346614837646484,0.07770867347920929,-0.03186486048132431,12,119.64,42,True
TAG,3,128,BatchNorm,gelu,1,mean,True,False,0.001,0.0001,0.1,,Clearance_Hepatocyte_AZ,47.97681884498362,1.0630231043330187,0.5125406436801035,48.282200637890355,1.2041283683777888,0.32315691366205157,28.74725341796875,32.7358512878418,0.07874717594848635,-0.011545858043798374,6,83.64,42,True
SAGE,3,256,BatchNorm,gelu,1,mean,True,True,0.001,1e-05,0.2,,Clearance_Hepatocyte_AZ,43.541357965911274,1.0090244044449892,0.5751898618800104,1404.208807478432,1.2735057234239997,0.36264633069806607,26.86815071105957,122.97966003417969,0.24121301153306463,-854.6080236970452,39,165.28,42,True
SAGE,2,256,BatchNorm,gelu,1,add,True,False,0.001,1e-05,0.1,,Clearance_Hepatocyte_AZ,45.18828880708474,1.0583698516565776,0.5697637540026882,619.4858755451976,1.3362914504017511,0.3390443116353569,27.155067443847656,74.0254135131836,0.18272591654829484,-165.523020896576,28,103.97,42,True
SAGE,4,256,BatchNorm,gelu,1,add,True,True,0.001,1e-05,0.1,,Clearance_Hepatocyte_AZ,44.84066572581606,1.03618952150004,0.5358427341683877,63.08136641721151,1.2178333978846223,0.3733723516258678,27.575551986694336,34.588951110839844,0.19525175330348465,-0.7266871119824383,13,115.81,42,True
GIN,2,128,BatchNorm,gelu,1,mean,True,False,0.0005,1e-05,0.2,,Clearance_Hepatocyte_AZ,46.20632703649063,1.0635206721973633,0.5021605597663711,55.98182601300176,1.3171726117988032,0.2797211257804532,27.284269332885742,37.52281188964844,0.14548669152441118,-0.3598956468935972,16,61.08,42,True
Graph,2,128,BatchNorm,gelu,1,mean,True,False,0.0005,0.0001,0.2,,Clearance_Hepatocyte_AZ,46.795343777119,1.04503566680686,0.523696425192792,49.04649420447908,1.2034846934644088,0.3292010634173494,28.9188289642334,32.816036224365234,0.12356195793869607,-0.0438243002348957,8,45.73,42,True
SAGE,4,256,BatchNorm,relu,1,add,True,True,0.001,1e-05,0.1,,Clearance_Hepatocyte_AZ,42.662216272313195,1.051205506197264,0.5011495677989998,552.2539327610081,1.2430197648830816,0.39590972240410605,25.71710777282715,70.30318450927734,0.2715449443993715,-131.3393806592708,16,123.8,42,True
SGC,4,128,BatchNorm,gelu,1,mean,True,True,0.0005,1e-05,0.1,2.0,Clearance_Hepatocyte_AZ,43.48141608689711,1.0435934874320594,0.5692741699457821,1404.4459316755488,1.3397433280051039,0.37047968467244674,26.46436882019043,125.70176696777344,0.2433007649917185,-854.8970156117558,27,123.23,42,True
SAGE,4,128,BatchNorm,gelu,1,mean,True,True,0.001,1e-05,0.1,,Clearance_Hepatocyte_AZ,44.90684395266564,1.0276818851840697,0.5726224520267367,61.47756474354588,1.1876663939834011,0.431706259981084,26.475378036499023,34.013431549072266,0.1928746203695989,-0.6400035001894693,13,81.18,42,True
SAGE,4,256,BatchNorm,relu,1,add,True,False,0.0005,1e-05,0.2,,Clearance_Hepatocyte_AZ,48.782864022785965,1.1402242622280159,0.4683169664788079,55.390175421306665,1.297856856979861,0.333841485839865,30.402185440063477,36.31374740600586,0.047531714729977526,-0.3313031033777354,15,117.71,42,True
SAGE,2,128,BatchNorm,relu,1,mean,True,True,0.001,0.0001,0.1,,Clearance_Hepatocyte_AZ,45.47167086838244,1.0263064686517274,0.5762035288695188,419.82907608335086,1.2710729418502724,0.3782321204092052,27.15346336364746,59.983795166015625,0.1724432959379294,-75.48151631936852,14,56.87,42,True
SAGE,2,256,BatchNorm,relu,1,add,True,False,0.001,0.0001,0.2,,Clearance_Hepatocyte_AZ,47.440351116560045,1.0409942673347654,0.5476127196439852,181.2423705290791,1.2048631270027208,0.38336333339170947,27.787548065185547,42.166812896728516,0.09923453925540349,-13.25380886613671,9,65.83,42,True
SAGE,3,256,BatchNorm,relu,1,mean,True,False,0.0005,1e-05,0.2,,Clearance_Hepatocyte_AZ,45.923331679856645,1.0720810968485175,0.5066539603077499,61.91243540843087,1.2259292291853872,0.3605125943738408,28.7946720123291,35.638038635253906,0.15592174569255535,-0.6632871758206396,6,70.45,42,True
TAG,4,128,BatchNorm,relu,1,add,True,False,0.001,0.0001,0.1,,Clearance_Hepatocyte_AZ,48.0444740253757,1.0575749854653442,0.5134326954160194,77.97549131678332,1.1508827304467577,0.4413790797176664,28.289535522460938,34.85955047607422,0.07614710893634924,-1.6383214176106344,16,127.3,42,True
SAGE,3,128,BatchNorm,relu,1,add,True,False,0.001,0.0001,0.2,,Clearance_Hepatocyte_AZ,47.40915964208551,1.0642145895116835,0.4900830288351531,50.928440528721275,1.2176630330609486,0.3331025862188703,28.270301818847656,32.6887321472168,0.10041863531512296,-0.12546558399506536,12,46.9,42,True
SGC,2,256,BatchNorm,relu,1,mean,True,True,0.001,1e-05,0.1,2.0,Clearance_Microsome_AZ,36.16703531338137,0.9478096828100976,0.5325251862696633,42.12333082746425,1.0190793513733822,0.5669156981306821,20.30782127380371,22.879308700561523,0.23526191017559583,0.04393930933092016,12,52.97,42,True
SAGE,2,128,BatchNorm,gelu,1,mean,True,False,0.0005,0.0001,0.1,,Clearance_Microsome_AZ,35.92339736878494,1.0098354084459367,0.4514606640127474,38.40797900908742,0.998204828040055,0.5663504299478581,20.334209442138672,21.171079635620117,0.24553046817984558,0.2051540540634761,20,41.65,42,True
SGC,3,256,BatchNorm,relu,1,add,True,True,0.001,1e-05,0.1,3.0,Clearance_Microsome_AZ,36.973161190754304,0.9303214990603268,0.5606337396864695,38.05791196434635,1.0095396286783258,0.5431590955164615,20.39702796936035,21.07600212097168,0.20079154478980843,0.21957716798407478,22,89.63,42,True
GIN,4,256,BatchNorm,gelu,1,mean,True,False,0.001,1e-05,0.2,,Clearance_Microsome_AZ,39.65226505539674,0.9895226827043235,0.5066089180869832,44.2975363707241,1.059441394260028,0.5322462949899636,21.763452529907227,23.614036560058594,0.08077272390550672,-0.057302353811937934,33,137.16,42,True
SGC,4,128,BatchNorm,relu,1,add,True,True,0.001,0.0001,0.2,3.0,Clearance_Microsome_AZ,38.60421638190493,0.902869187583084,0.5820107948740083,41.79084944884765,1.003379032591484,0.6303762834194765,19.80626106262207,21.323911666870117,0.12872273052122019,0.05897220818508886,23,110.41,42,True
TAG,3,128,BatchNorm,gelu,1,mean,True,False,0.001,0.0001,0.1,,Clearance_Microsome_AZ,38.88960173422807,1.0242151369000454,0.45457170778897654,39.57572226717726,1.031487980204119,0.5536776285867987,21.462007522583008,22.218189239501953,0.11579311414839255,0.15608685531653776,10,121.2,42,True
SAGE,3,256,BatchNorm,gelu,1,mean,True,True,0.001,1e-05,0.2,,Clearance_Microsome_AZ,36.05852244637355,0.9564300283712377,0.5172474142749944,39.5260433824175,0.9659199595787626,0.6219927029431617,19.621578216552734,21.147207260131836,0.23984395194608354,0.15820423171406572,18,210.17,42,True
SAGE,2,256,BatchNorm,gelu,1,add,True,False,0.001,1e-05,0.1,,Clearance_Microsome_AZ,35.73780454683982,0.9195390835934594,0.5184026849170446,40.501448240406326,1.0042965723582793,0.5703249185981459,19.130510330200195,22.166532516479492,0.2533060369135409,0.11614472536032505,19,55.87,42,True
SAGE,4,256,BatchNorm,gelu,1,add,True,True,0.001,1e-05,0.1,,Clearance_Microsome_AZ,36.51119530791207,0.9331750256735434,0.5475073181393978,86.7156728057636,1.0795809232153284,0.5575799674288267,20.11556053161621,28.46526336669922,0.22063839994222179,-3.0516810325577515,16,81.26,42,True
GIN,2,128,BatchNorm,gelu,1,mean,True,False,0.0005,1e-05,0.2,,Clearance_Microsome_AZ,37.72162536937947,0.9939952299372719,0.44164996017455144,40.09049668942364,1.027165601412366,0.5445475532439205,20.452651977539062,21.7730655670166,0.1681065656567824,0.13398996206257707,40,74.45,42,True
Graph,2,128,BatchNorm,gelu,1,mean,True,False,0.0005,0.0001,0.2,,Clearance_Microsome_AZ,41.19408052752012,0.9845111831149727,0.536937046595602,42.144447071296504,1.0609976023966208,0.5334478449464185,21.891996383666992,23.454776763916016,0.007897534801008854,0.04298053088451226,10,48.42,42,True
SAGE,4,256,BatchNorm,relu,1,add,True,True,0.001,1e-05,0.1,,Clearance_Microsome_AZ,35.50966459003626,0.9579539665825936,0.5364139909899495,55.90323234589168,1.0873745571237765,0.5389874731380933,19.961742401123047,25.069772720336914,0.26280897059354624,-0.683890673868587,30,147.59,42,True
SGC,4,128,BatchNorm,gelu,1,mean,True,True,0.0005,1e-05,0.1,2.0,Clearance_Microsome_AZ,36.61236750200077,0.9315745395611458,0.5740558013584752,37.08309760429524,0.9433370897347323,0.6425275609696489,19.385887145996094,19.798908233642578,0.21631320771898943,0.259044611513195,17,95.59,42,True
SAGE,4,128,BatchNorm,gelu,1,mean,True,True,0.001,1e-05,0.1,,Clearance_Microsome_AZ,36.952229772454196,1.0221104362447178,0.4934142718956959,37.43098140766049,0.9707445368588634,0.5957358538238072,22.228139877319336,20.487016677856445,0.20169619187539034,0.24507730706187025,35,100.88,42,True
SAGE,4,256,BatchNorm,relu,1,add,True,False,0.0005,1e-05,0.2,,Clearance_Microsome_AZ,37.92879037945235,1.0043014886373365,0.5267988644651713,42.17731503213917,1.0559154745617536,0.5521022630883357,20.914844512939453,23.304189682006836,0.1589440521880603,0.04148721224231933,17,93.56,42,True
SAGE,2,128,BatchNorm,relu,1,mean,True,True,0.001,0.0001,0.1,,Clearance_Microsome_AZ,39.0548398739276,1.026073444471374,0.4226334776768707,40.39982970551206,1.026516783679713,0.5637888277002671,21.302762985229492,22.18263053894043,0.10826333308925895,0.12057436465717875,9,39.61,42,True
SAGE,2,256,BatchNorm,relu,1,add,True,False,0.001,0.0001,0.2,,Clearance_Microsome_AZ,38.077419720591955,0.9728482858461468,0.4875515008027731,41.49425788588103,1.0117153453962817,0.5483749017340562,20.202926635742188,22.5435791015625,0.15233954325456323,0.07228184468788967,24,86.25,42,True
SAGE,3,256,BatchNorm,relu,1,mean,True,False,0.0005,1e-05,0.2,,Clearance_Microsome_AZ,38.92070828239287,1.0298561989915496,0.5204539725531253,38.19441842249745,1.0321141745290467,0.5689569127848393,22.47649383544922,22.121570587158203,0.11437805084664765,0.21396867253746665,18,95.53,42,True
TAG,4,128,BatchNorm,relu,1,add,True,False,0.001,0.0001,0.1,,Clearance_Microsome_AZ,37.425441831581125,0.9720066450388227,0.5356771648324216,38.85792681760698,1.0216016627114235,0.5961113736919947,20.828662872314453,22.121793746948242,0.18111903902443172,0.1864217976638749,13,114.62,42,True
SAGE,3,128,BatchNorm,relu,1,add,True,False,0.001,0.0001,0.2,,Clearance_Microsome_AZ,39.603354140523095,0.9582682439514538,0.5333029472137205,41.15656439705275,1.0104257324290626,0.5640160711908494,20.89759635925293,22.284128189086914,0.0830390518362214,0.08732053159881104,23,71.58,42,True
