Dataset,Task,RMSE_log_Mean,RMSE_log_Std,MAE_log_Mean,MAE_log_Std,CI_Lower,CI_Upper,AUC_Mean,AUC_Std
Caco2_Wang,regression,0.47564364932878805,0.06171925113990712,0.3730494141578674,0.04205927868239104,0.4215443404296563,0.5297429582279198,,
Half_Life_Obach,regression,1.5416529698658448,0.2193850723376049,1.2176160097122193,0.20366142221958153,1.3493534753475722,1.7339524643841173,,
Clearance_Hepatocyte_AZ,regression,1.3050277943178752,0.035525805097722025,1.0756808280944825,0.019065098894754984,1.2738880531775405,1.3361675354582099,,
Clearance_Microsome_AZ,regression,1.5639035244427286,0.37938531291119576,1.3201197862625123,0.33888951613973683,1.2313576355036193,1.896449413381838,,
tox21,classification,,,,,0.7046571349799837,0.7175662196193926,0.7111116772996882,0.007363671117606232
herg,classification,,,,,0.7048665517494269,0.8176665852166997,0.7612665684830633,0.06434401599415136
