Architecture,Avg_Rank,Mean_R2,Params_k,Mean_time_s,Caco-2,Half-Life,Clearance Hep.,Clearance Mic.
GCN,3.25,-0.26827915012836456,463.233,9.015209078788757,0.47987812757492065,0.2593544125556946,-2.039072275161743,0.22672313451766968
Transformer,3.25,0.010527551174163818,986.625,12.630810379981995,0.45867133140563965,0.27934014797210693,-0.8350657224655151,0.13916444778442383
TAG,4.0,-0.10773704946041107,846.337,11.92280250787735,0.47059381008148193,0.07572692632675171,-0.4827982187271118,-0.4944707155227661
GraphConv,4.75,-0.38257813453674316,80.801,8.90973836183548,0.4425184726715088,-0.04367339611053467,-0.017740607261657715,-1.911417007446289
SGC,4.75,-0.07354399561882019,180.225,9.395212531089783,0.3796634078025818,0.20721668004989624,-0.1435171365737915,-0.7375389337539673
GAT,4.75,-0.06811739504337311,145.409,12.808805704116821,0.3684301972389221,0.28799688816070557,-1.0115985870361328,0.0827019214630127
GIN,5.0,-2.555653676390648,726.405,8.480642259120941,0.487013041973114,-0.054430365562438965,-0.6551973819732666,-10.0
GraphSAGE,6.25,-0.5953875035047531,246.785,9.030708193778992,0.441646933555603,-0.2955840826034546,-2.660351276397705,0.1327384114265442
