Dataset,Algorithm,Test RMSE,Test MAE,Test R²,Val RMSE,Train Time (s)
Caco2_Wang,ABC,0.0025796182453632355,0.0019252891652286053,0.5290169715881348,0.00381197570823133,435.5364260673523
Half_Life_Obach,ABC,20.367801666259766,8.47891902923584,0.11893892288208008,15.642943382263184,50.78044056892395
Clearance_Hepatocyte_AZ,SA,50.29160690307617,35.00833511352539,-0.09749495983123779,50.835960388183594,75.05706262588501
Clearance_Microsome_AZ,SA,40.86054229736328,24.747533798217773,0.10040223598480225,38.07986068725586,60.13256573677063
