Dataset,Algorithm,Test F1,Test AUC-ROC,Test Accuracy,Val F1,Val AUC-ROC,Train Time (s)
HERG,HC,0.8844221105527639,0.8139911634756996,0.8257575757575758,0.8518518518518519,0.8542510121457491,17.117135524749756
TOX21,RANDOM,0.5306122448979592,0.7353600619636778,0.9683413626978665,0.5217391304347826,0.69763353617309,66.69100165367126
