Dataset,Task,Metric,N_Algorithms,Mean,Std,Min,Max,Best_Algorithm,Best_Value
Caco2_Wang,Regression,RMSE,6,0.002773231555086871,0.00019892752587314657,0.0025796182453632355,0.0030398929957300425,abc,0.0025796182453632355
Clearance_Hepatocyte_AZ,Regression,RMSE,6,60.25100008646647,12.850717269091334,50.29160690307617,88.33502960205078,sa,50.29160690307617
Clearance_Microsome_AZ,Regression,RMSE,6,437.3024419148763,251.47996075760247,40.86054229736328,614.2774658203125,sa,40.86054229736328
Half_Life_Obach,Regression,RMSE,6,20.93049494425456,0.688325465022205,20.367801666259766,22.249011993408203,abc,20.367801666259766
herg,Classification,F1,6,0.8579616456500879,0.014771091451916326,0.8333333333333334,0.8844221105527639,hc,0.8844221105527639
tox21,Classification,F1,6,0.46160008203588027,0.0559876120485433,0.34951456310679613,0.5306122448979592,random,0.5306122448979592
