Dataset,Task,RMSE_log_Mean,RMSE_log_Std,MAE_log_Mean,MAE_log_Std,CI_Lower,CI_Upper,AUC_Mean,AUC_Std
Caco2_Wang,regression,0.46706717482755244,0.051838097782704914,0.3692573606967926,0.04514238686024747,0.42162907872472,0.5125052709303849,,
Half_Life_Obach,regression,1.2411838053621829,0.115833545565214,0.9667746424674988,0.1080341798538094,1.139651226034397,1.3427163846899688,,
Clearance_Hepatocyte_AZ,regression,1.3802156833715407,0.04554163486337734,1.1318845748901367,0.029955222481401204,1.340296680358034,1.4201346863850473,,
Clearance_Microsome_AZ,regression,1.2803059395471816,0.24719116292285231,1.1002661466598511,0.24070081818532693,1.0636333320039542,1.4969785470904091,,
tox21,classification,,,,,0.7056604868798015,0.7270057927939024,0.716333139836852,0.012175906893994379
herg,classification,,,,,0.7885517356980918,0.8194011361723059,0.8039764359351989,0.017597284827922784
