dataset,model,task_type,train_size,test_size,test_rmse,test_r2,test_mae,valid_rmse,valid_r2,embed_time,train_time,total_time,status,test_auc,test_f1,test_acc,valid_auc
Caco2_Wang,MolCLR-Pretrained,regression,637,182,0.7485347078833019,-0.1893317081644723,0.598705796026276,0.8055396079339016,-0.09958316620449659,18.07099962234497,0.25499820709228516,18.325997829437256,success,,,,
Half_Life_Obach,MolCLR-Pretrained,regression,466,135,21.711054020699354,-0.0011048529753321379,9.615761958369502,106.89003598688883,-0.037743142361688964,12.01500153541565,0.4310002326965332,12.446001768112183,success,,,,
Clearance_Hepatocyte_AZ,MolCLR-Pretrained,regression,849,243,48.92344940771466,-0.038593510976733025,42.29049825409312,51.22149322425172,-0.050075231929511244,21.510002374649048,0.2799990177154541,21.790001392364502,success,,,,
Clearance_Microsome_AZ,MolCLR-Pretrained,regression,771,221,42.19075078369793,0.04087639103126761,32.6417060486116,41.0123501095224,0.016631544605650084,20.75100088119507,3.604999542236328,24.356000423431396,success,,,,
tox21,MolCLR-Pretrained,classification,5080,1453,,,,,,94.9700014591217,0.8050246238708496,95.77502608299255,success,0.4517080776991908,0.0,0.9511355815554026,0.3444474619790638
herg,MolCLR-Pretrained,classification,458,132,,,,,,12.581999063491821,0.15700006484985352,12.738999128341675,success,0.4007363770250368,0.8471615720524017,0.7348484848484849,0.258
