dataset,model,task_type,best_val_metric,epochs,test_auc,test_rmse_orig,test_rmse_log,test_mae_log
Caco2_Wang,ChemBERTa-FT,regression,0.5287735664130012,26,,0.0029346458564478667,0.56838525142951,0.4543709456920624
Half_Life_Obach,ChemBERTa-FT,regression,1.49788230181002,12,,23.861899731351283,1.3018413725789388,0.9722735285758972
Clearance_Hepatocyte_AZ,ChemBERTa-FT,regression,1.2060234529103182,21,,54.51361417902298,1.4224861424580661,1.1462574005126953
Clearance_Microsome_AZ,ChemBERTa-FT,regression,1.1666398158843687,16,,44.45055737312244,1.4581642143643687,1.1409145593643188
tox21,ChemBERTa-FT,classification,0.9022318783330042,12,0.7293267564868225,,,
herg,ChemBERTa-FT,classification,0.8210000000000001,19,0.7901325478645066,,,
