dataset,old_rmse,new_rmse,improvement_rmse,old_r2,new_r2,old_auc,new_auc,improvement
Caco2_Wang,0.713,0.7485347078833019,-0.03553470788330193,-0.079,-0.1893317081644723,,,
Half_Life_Obach,21.97,21.711054020699354,0.2589459793006448,-0.025,-0.0011048529753321379,,,
Clearance_Hepatocyte_AZ,48.71,48.92344940771466,-0.2134494077146627,-0.03,-0.038593510976733025,,,
Clearance_Microsome_AZ,43.33,42.19075078369793,1.139249216302069,-0.012,0.04087639103126761,,,
tox21,,,,,,0.538,0.4517080776991908,-0.08629192230080923
herg,,,,,,0.504,0.4007363770250368,-0.10326362297496322
