Dataset,Task,Primary_Metric,Mean,Std,Mean_pm_Std,R2_Mean,R2_Std,AUC_Mean,AUC_Std
Caco2_Wang,Regression,RMSE,0.003025095211341977,0.0003336743294984129,0.0030 ± 0.0003,0.34704862038294476,0.1400589618567502,,
Half_Life_Obach,Regression,RMSE,21.045621236165363,1.8118480988467702,21.0456 ± 1.8118,0.054673612117767334,0.16599368905439796,,
Clearance_Hepatocyte_AZ,Regression,RMSE,96.87791442871094,76.11702002226481,96.8779 ± 76.1170,-3.49212110042572,5.642920659414404,,
Clearance_Microsome_AZ,Regression,RMSE,39.85271326700846,1.3892563575409627,39.8527 ± 1.3893,0.14353913068771362,0.059146438905609486,,
tox21,Classification,F1,0.4729780801209373,0.03373055571201314,0.4730 ± 0.0337,,,0.7325574285073683,0.005906684605647045
herg,Classification,F1,0.8554518552242203,0.024445060339009873,0.8555 ± 0.0244,,,0.7398625429553265,0.020880584832651643
