Feature,Importance
TPSA,0.1946784423840965
HBD,0.18114816890208835
MW,0.1721267647484406
LogP,0.17208954424691472
NumAromaticRings,0.15899235073353135
HBA,0.14579760665896216
NumRotatableBonds,0.10319580258201055
FractionCSP3,0.07071296369543797
