Dataset,PSO_F1,PSO_AUC,ABC_F1,ABC_AUC,GA_F1,GA_AUC,SA_F1,SA_AUC,HC_F1,HC_AUC,RANDOM_F1,RANDOM_AUC
herg,0.8571428571428571,0.7474226804123711,0.8571428571428571,0.7474226804123711,0.8571428571428571,0.7474226804123711,0.8585858585858586,0.8022091310751105,0.8844221105527639,0.8139911634756996,0.8333333333333334,0.7468335787923416
tox21,0.4631578947368421,0.7168015327857158,0.4631578947368421,0.7168015327857158,0.4631578947368421,0.7168015327857158,0.34951456310679613,0.7249036913230468,0.5,0.7552179939259289,0.5306122448979592,0.7353600619636778
